[2026-03-27 18:21:45] ======================================================================
[2026-03-27 18:21:45] DAMAGE-PREDICTION SURROGATE EXPERIMENT
[2026-03-27 18:21:45] ======================================================================
[2026-03-27 18:21:45] Insight: 'be different' losses produce orthogonality but NOT
[2026-03-27 18:21:45] causal locality. The correct signal: expert removal should
[2026-03-27 18:21:45] cause SELECTIVE damage.
[2026-03-27 18:21:45] 
[2026-03-27 18:21:45] L_locality = lambda * (overlap - 0.1 * exclusivity)
[2026-03-27 18:21:45]   overlap = damage_e0 * damage_e1  (penalize redundancy)
[2026-03-27 18:21:45]   exclusivity = |damage_e0 - damage_e1|  (reward selectivity)
[2026-03-27 18:21:45] ======================================================================
[2026-03-27 18:21:45] Config: {'device': 'cuda:0', 'model_name': 'Qwen/Qwen3-1.7B', 'checkpoint': 'fork_trunk18_phase1_final', 'seed': 42, 'hidden_dim': 2048, 'intermediate_dim': 6144, 'num_layers': 28, 'trunk_layers': 18, 'expert_layer_start': 18, 'initial_rank': 4, 'num_experts': 2, 'total_tokens': 50000000, 'batch_size': 4, 'seq_len': 512, 'lr': 0.0001, 'tau_start': 1.0, 'tau_end': 0.1, 'tau_anneal_steps': 24000, 'lambda_loc': 0.05, 'damage_every_n_steps': 5, 'damage_token_stride': 4, 'eval_interval_steps': 1000, 'eval_tokens': 524288, 'results_dir': '/root/t6b-mogae/results_damage_surrogate', 'checkpoint_dir': '/root/t6b-mogae/checkpoints/fork_trunk18', 'save_checkpoint_dir': '/root/t6b-mogae/checkpoints/damage_surrogate', 'log_file': '/root/t6b-mogae/logs/damage_surrogate.log'}
[2026-03-27 18:21:45] Loading Qwen/Qwen3-1.7B...
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 180.95it/s]
[2026-03-27 18:21:48] Base model loaded: 1,720,574,976 params
[2026-03-27 18:21:48] Verified: hidden=2048, intermediate=6144
[2026-03-27 18:21:48] Loading Phase 1 checkpoint: /root/t6b-mogae/checkpoints/fork_trunk18/fork_trunk18_phase1_final.pt
[2026-03-27 18:21:48] Loaded Phase 1 weights (step 24414, phase 1)
[2026-03-27 18:21:48] Forking each layer: 1 expert -> 2 experts with perturbation...
[2026-03-27 18:21:48] Fork complete. Tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 18:21:48] Trainable params: 1,351,680
[2026-03-27 18:21:48] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 18:21:48] Training: 24414 steps, LR=0.0001, batch=4x512
[2026-03-27 18:21:48] Gumbel-softmax: tau 1.0 -> 0.1 over 24000 steps
[2026-03-27 18:21:48] Damage surrogate: lambda_loc=0.05, every 5 steps, stride=4
[2026-03-27 18:21:48] NO contrastive loss, NO load-balancing loss
[2026-03-27 18:21:48] Trainable params: 1,351,680
[2026-03-27 18:21:48] Expert tree: {18: {'num_experts': 2, 'ranks': [4, 4]}, 19: {'num_experts': 2, 'ranks': [4, 4]}, 20: {'num_experts': 2, 'ranks': [4, 4]}, 21: {'num_experts': 2, 'ranks': [4, 4]}, 22: {'num_experts': 2, 'ranks': [4, 4]}, 23: {'num_experts': 2, 'ranks': [4, 4]}, 24: {'num_experts': 2, 'ranks': [4, 4]}, 25: {'num_experts': 2, 'ranks': [4, 4]}, 26: {'num_experts': 2, 'ranks': [4, 4]}, 27: {'num_experts': 2, 'ranks': [4, 4]}}
[2026-03-27 18:22:12]   step 100/24414 | lm=3.4688 loc=0.000000 tau=0.996 | lr=1.00e-04 | 8417 tok/s route_L18=[0.57, 0.43] | dmg_e0=0.0138 dmg_e1=0.0148 overlap=0.000453 excl=0.0159
[2026-03-27 18:22:40]   step 200/24414 | lm=2.9375 loc=0.000000 tau=0.993 | lr=1.00e-04 | 7788 tok/s route_L18=[0.59, 0.41] | dmg_e0=0.0139 dmg_e1=0.0156 overlap=0.000464 excl=0.0173
[2026-03-27 18:23:09]   step 300/24414 | lm=2.8438 loc=0.000000 tau=0.989 | lr=1.00e-04 | 7565 tok/s route_L18=[0.53, 0.47] | dmg_e0=0.0141 dmg_e1=0.0158 overlap=0.000466 excl=0.0178
[2026-03-27 18:23:38]   step 400/24414 | lm=1.8906 loc=0.000000 tau=0.985 | lr=9.99e-05 | 7450 tok/s route_L18=[0.40, 0.60] | dmg_e0=0.0145 dmg_e1=0.0162 overlap=0.000483 excl=0.0184
[2026-03-27 18:24:07]   step 500/24414 | lm=2.8281 loc=0.000000 tau=0.981 | lr=9.99e-05 | 7375 tok/s route_L18=[0.65, 0.35] | dmg_e0=0.0146 dmg_e1=0.0164 overlap=0.000484 excl=0.0187
[2026-03-27 18:24:28]   step 600/24414 | lm=2.4688 loc=0.000000 tau=0.978 | lr=9.99e-05 | 7663 tok/s route_L18=[0.59, 0.41] | dmg_e0=0.0149 dmg_e1=0.0165 overlap=0.000488 excl=0.0191
[2026-03-27 18:24:42]   step 700/24414 | lm=3.3594 loc=0.000000 tau=0.974 | lr=9.98e-05 | 8243 tok/s route_L18=[0.65, 0.35] | dmg_e0=0.0151 dmg_e1=0.0166 overlap=0.000488 excl=0.0194
[2026-03-27 18:24:55]   step 800/24414 | lm=3.2656 loc=0.000000 tau=0.970 | lr=9.97e-05 | 8739 tok/s route_L18=[0.68, 0.32] | dmg_e0=0.0152 dmg_e1=0.0168 overlap=0.000490 excl=0.0198
[2026-03-27 18:25:09]   step 900/24414 | lm=2.4844 loc=0.000000 tau=0.966 | lr=9.97e-05 | 9168 tok/s route_L18=[0.66, 0.34] | dmg_e0=0.0154 dmg_e1=0.0170 overlap=0.000497 excl=0.0201
[2026-03-27 18:25:22]   step 1000/24414 | lm=3.3438 loc=0.000000 tau=0.963 | lr=9.96e-05 | 9543 tok/s route_L18=[0.55, 0.45] | dmg_e0=0.0157 dmg_e1=0.0172 overlap=0.000506 excl=0.0204
[2026-03-27 18:25:22] --- Eval at step 1000 (tau=0.963) ---
[2026-03-27 18:25:38]   PPL=20.14 | mean_cossim=0.990234375
[2026-03-27 18:25:38]   DAMAGE: e0=0.0000 e1=0.0000 overlap=0.000000 excl=0.0000 excl_ratio=0.00 cv_e0=0.000 cv_e1=0.000
[2026-03-27 18:25:38]   L18: selectivity=0.262 (std=0.143, frac>0.3=0.43)
[2026-03-27 18:25:38]   L19: selectivity=0.281 (std=0.146, frac>0.3=0.49)
[2026-03-27 18:25:38]   L20: selectivity=0.326 (std=0.149, frac>0.3=0.61)
[2026-03-27 18:25:38]   L21: selectivity=0.316 (std=0.150, frac>0.3=0.59)
[2026-03-27 18:25:38]   L22: selectivity=0.324 (std=0.149, frac>0.3=0.61)
[2026-03-27 18:25:38]   L23: selectivity=0.342 (std=0.149, frac>0.3=0.65)
[2026-03-27 18:25:38]   L24: selectivity=0.334 (std=0.149, frac>0.3=0.63)
[2026-03-27 18:25:38]   L25: selectivity=0.359 (std=0.147, frac>0.3=0.70)
[2026-03-27 18:25:38]   L26: selectivity=0.379 (std=0.143, frac>0.3=0.74)
[2026-03-27 18:25:38]   L27: selectivity=0.391 (std=0.139, frac>0.3=0.77)
[2026-03-27 18:25:38]   L18: entropy=0.490 gini=0.109 dist=['0.609', '0.391']
[2026-03-27 18:25:38]   L19: entropy=0.459 gini=0.078 dist=['0.428', '0.574']
[2026-03-27 18:25:38]   L20: entropy=0.379 gini=0.086 dist=['0.414', '0.586']
[2026-03-27 18:25:38]   L21: entropy=0.395 gini=0.008 dist=['0.486', '0.512']
[2026-03-27 18:25:38]   L22: entropy=0.381 gini=0.031 dist=['0.469', '0.531']
[2026-03-27 18:25:38]   L23: entropy=0.350 gini=0.086 dist=['0.420', '0.582']
[2026-03-27 18:25:38]   L24: entropy=0.365 gini=0.109 dist=['0.609', '0.393']
[2026-03-27 18:25:38]   L25: entropy=0.314 gini=0.156 dist=['0.344', '0.656']
[2026-03-27 18:25:38]   L26: entropy=0.277 gini=0.055 dist=['0.555', '0.445']
[2026-03-27 18:25:38]   L27: entropy=0.250 gini=0.180 dist=['0.318', '0.680']
[2026-03-27 18:25:38] Checkpoint saved: /root/t6b-mogae/checkpoints/damage_surrogate/damage_step1000.pt
